mean,deviation,C,epsilon,gamma,degree,kernel,coef,time,kfold
1.0541883031924262,0.18014171155519476,100,0.1,scale,0,rbf,0,1.551175832748413,5
1.0605582679534995,0.17049770045312473,100,0.5,scale,0,rbf,0,0.9198896884918213,5
1.0634288947362227,0.19783394026520376,100,0.01,scale,0,rbf,0,2.0526280403137207,5
1.0657561634022876,0.19981889468994285,100,0.001,scale,0,rbf,0,2.369882106781006,5
1.104642047365447,0.11794320063103893,10,0.5,scale,0,rbf,0,0.3030588626861572,5
1.1166974783133516,0.11935778397971031,10,0.1,scale,0,rbf,0,0.409865140914917,5
1.1339435986449076,0.13084833584470953,10,0.01,scale,0,rbf,0,0.4700889587402344,5
1.1358296190225206,0.13215785145010697,10,0.001,scale,0,rbf,0,0.4841933250427246,5
1.300681349231399,0.10626155380490945,1,0.1,scale,0,rbf,0,0.2747616767883301,5
1.301517033809594,0.101104683019875,1,0.5,scale,0,rbf,0,0.1930084228515625,5
1.305263122238975,0.10498292560738419,1,0.01,scale,0,rbf,0,0.2903616428375244,5
1.3055457260329142,0.10478152802709771,1,0.001,scale,0,rbf,0,0.2941770553588867,5
3.1582812831737828,0.3404297094217009,0.1,0.001,scale,0,rbf,0,0.2467813491821289,5
3.1582812831737828,0.3404297094217009,0.1,0.001,scale,0,rbf,0,0.24468755722045898,5
3.159186558768625,0.3427792818046855,0.1,0.01,scale,0,rbf,0,0.24521112442016602,5
3.159186558768625,0.3427792818046855,0.1,0.01,scale,0,rbf,0,0.24251055717468262,5
3.1736048379430644,0.3468708706436509,0.1,0.1,scale,0,rbf,0,0.7431328296661377,5
3.1736048379430644,0.3468708706436509,0.1,0.1,scale,0,rbf,0,0.23248744010925293,5
3.2180021686077986,0.3513805218570877,0.1,0.5,scale,0,rbf,0,0.18152523040771484,5
3.2180021686077986,0.3513805218570877,0.1,0.5,scale,0,rbf,0,0.18063569068908691,5
